ucsc.5utr	ucsc.5utr.chr	ucsc.5utr.start	ucsc.5utr.end	ucsc.3utr	ucsc.3utr.chr	ucsc.3utr.start	ucsc.3utr.end
ACTN1-AS1	NA	NA	NA	NA	uc031qpf.1	chr14	69446399	69454180
EXD2	uc001xku.3	chr14	69658194	69697289	uc001xkt.3	chr14	69707818	69710737
GALNT16	uc001xla.2	chr14	69726681	69727007	uc001xla.2	chr14	69814810	69818460
SLC39A9	uc021rvg.1	chr14	69865096	69908934	uc001xlg.4	chr14	69865385	69929107
PLEKHD1	uc001xli.2	chr14	69951471	69951682	uc001xli.2	chr14	69967028	69970407
KIAA0247	uc010aqz.3	chr14	70078310	70137178	uc001xlk.3	chr14	70177697	70181861
SRSF5	uc001xll.3	chr14	70193619	70234873	uc001xln.1	chr14	70235642	70237257
SMOC1	uc001xlt.2	chr14	70346114	70346395	uc001xlt.2	chr14	70496976	70499083
ADAM21	uc001xmd.3	chr14	70918874	70924216	uc001xmd.3	chr14	70926386	70926622
TTC9	uc001xmi.2	chr14	71108504	71108846	uc001xmi.2	chr14	71137873	71142077
PCNX	uc010arf.1	chr14	71479717	71493553	uc001xmo.2	chr14	71576653	71582099
SNORD56B	NA	NA	NA	NA	uc001xmq.3	chr14	71865054	71865124
SIPA1L1	uc001xmr.1	chr14	71933902	71996071	uc001xmr.1	chr14	72040490	72041803
RGS6	uc021rvv.1	chr14	72398817	72818823	uc010tto.2	chr14	72399786	73033238
DCAF4	uc010ttt.2	chr14	73393040	73412702	uc001xnk.3	chr14	73423217	73424822
RBM25	uc001xnp.3	chr14	73538335	73563694	uc001xno.3	chr14	73586514	73588076
PSEN1	uc001xnq.4	chr14	73603143	73614727	uc001xnu.3	chr14	73614675	73690399
PAPLN	uc001xnw.4	chr14	73704205	73706486	uc010arl.3	chr14	73704205	73741347
AK055876	NA	NA	NA	NA	uc001xoi.1	chr14	73929129	73946036
C14orf169	uc001xok.1	chr14	73957644	73957722	uc001xok.1	chr14	73959648	73960105
ACOT1	uc001xol.1	chr14	74003928	74004125	uc010tuc.3	chr14	74042218	74042362
ACOT2	uc001xom.4	chr14	74034324	74036048	uc001xom.4	chr14	74042218	74042362
ACOT4	uc001xoo.3	chr14	74058410	74058663	uc001xoo.3	chr14	74062359	74062470
ACOT6	uc001xop.3	chr14	74083548	74083878	uc001xop.3	chr14	74086544	74086592
DNAL1	uc010aru.3	chr14	74111578	74125624	uc010arv.3	chr14	74111578	74170431
MIR4505	NA	NA	NA	NA	uc021rwi.1	chr14	74225450	74225522
PTGR2	uc001xow.3	chr14	74318534	74325565	uc001xow.3	chr14	74350881	74352168
ZNF410	uc010tug.2	chr14	74353318	74371680	uc001xoy.2	chr14	74318674	74398991
COQ6	uc001xpe.3	chr14	74416637	74420140	uc010tum.2	chr14	74425071	74425781
CCDC176	uc010tup.2	chr14	74486059	74486181	uc001xpm.1	chr14	74498500	74549566
LIN52	uc001xpp.2	chr14	74551656	74551665	uc010asb.2	chr14	74551663	74667117
VSX2	uc001xpq.3	chr14	74706175	74706264	uc001xpq.3	chr14	74727623	74729441
VRTN	uc001xpw.4	chr14	74815166	74823486	uc001xpw.4	chr14	74825596	74826711
ISCA2	uc001xpz.3	chr14	74960423	74960477	uc031qph.1	chr14	74961538	74962271
SNORA7	uc021qnf.1	chr11	73963459	73963597	uc021rwn.1	chr14	75178654	75178748
FCF1	uc001xqf.1	chr14	75179850	75179900	uc001xqi.3	chr14	75179850	75203498
YLPM1	uc001xqj.4	chr14	75230069	75230192	uc001xql.4	chr14	75248037	75304013
DLST	uc001xqs.3	chr14	75348594	75359643	uc001xqv.2	chr14	75369034	75370450
EIF2B2	uc001xrc.2	chr14	75469612	75469693	uc001xrc.2	chr14	75475892	75476294
ZC2HC1C	uc001xrh.3	chr14	75536299	75537276	uc001xri.3	chr14	75544240	75544799
FOS	uc010asi.3	chr14	75746346	75746780	uc001xrn.3	chr14	75748128	75748937
LOC731223	NA	NA	NA	NA	uc001xrp.3	chr14	75761107	75763111
JDP2	uc010asj.3	chr14	75894509	75904623	uc010asj.3	chr14	75936179	75939404
BATF	uc001xrr.3	chr14	75988784	75989025	uc001xrr.3	chr14	76013015	76013334
FLVCR2	uc001xrs.2	chr14	76044940	76045315	uc001xrs.2	chr14	76112816	76114512
TTLL5	uc001xrv.3	chr14	76127551	76129492	uc001xry.1	chr14	76165531	76249873
IFT43	uc001xse.3	chr14	76452096	76452129	uc010tve.3	chr14	76452096	76550416
GPATCH2L	uc001xsh.3	chr14	76618259	76620706	uc001xsl.3	chr14	76620697	76669134
ESRRB	uc001xsr.3	chr14	76837690	76905696	uc001xso.3	chr14	76837690	76968180
VASH1	uc001xss.3	chr14	77228235	77229164	uc001xst.2	chr14	77245362	77249363
C14orf166B	uc010asn.1	chr14	77292725	77311237	uc001xsw.2	chr14	77292727	77336645
KIAA1737	uc001xtc.1	chr14	77564578	77576307	uc001xtd.3	chr14	77580662	77583630
TMEM63C	uc001xtf.2	chr14	77648102	77685156	uc001xtf.2	chr14	77723070	77725838
MIR1260A	NA	NA	NA	NA	uc021rws.1	chr14	77732561	77732633
GSTZ1	uc010ass.3	chr14	77787230	77793844	uc001xtj.3	chr14	77797539	77797940
SAMD15	NA	NA	NA	NA	NA	NA	NA	NA
AHSA1	uc010tvk.1	chr14	77924373	77924532	uc001xtw.3	chr14	77935593	77935815
SLIRP	uc001xue.5	chr14	78174414	78174454	uc031qpl.1	chr14	78174414	78183941
C14orf178	uc001xuh.2	chr14	78227173	78235742	uc021rwv.1	chr14	78236022	78236085
ADCK1	uc001xui.3	chr14	78266426	78285321	uc010tvo.1	chr14	78266426	78392304
NRXN3	uc001xun.4	chr14	78870074	79117567	uc001xum.2	chr14	78636716	80334633
DIO2-AS1	NA	NA	NA	NA	uc001xuw.1	chr14	80677762	80921810
TSHR	uc001xvb.1	chr14	81421869	81422024	uc001xvd.1	chr14	81610698	81612646
LINC00911	NA	NA	NA	NA	uc031qpp.1	chr14	85860223	85886418
FLRT2	uc001xvr.3	chr14	85996488	86087858	uc001xvr.3	chr14	86089842	86094270
LOC283585	NA	NA	NA	NA	uc001xvs.3	chr14	87372122	87389099
GPR65	uc001xvv.3	chr14	88471468	88477191	uc001xvv.3	chr14	88478206	88481155
LOC283587	NA	NA	NA	NA	uc001xvw.3	chr14	88490894	88553688
SPATA7	uc001xws.3	chr14	88877003	88881564	uc001xwq.3	chr14	88904767	88904804
ZC3H14	uc001xxa.3	chr14	89042184	89068278	uc001xww.3	chr14	89078096	89079853
TTC8	uc001xxl.3	chr14	89290918	89323540	uc010atg.1	chr14	89290497	89319400
FOXN3-AS1	NA	NA	NA	NA	uc001xxq.3	chr14	89883698	89886137
FOXN3-AS2	NA	NA	NA	NA	uc001xxr.3	chr14	90042560	90043820
TDP1	uc001xya.3	chr14	90422246	90437541	uc010atm.3	chr14	90421283	90511108
KCNK13	uc001xye.1	chr14	90528108	90528549	uc001xye.1	chr14	90651348	90652195
PSMC1	uc001xyg.3	chr14	90722894	90729726	uc001xyf.3	chr14	90738752	90738966
CALM1	uc001xym.2	chr14	90864609	90867676	uc001xyl.2	chr14	90871062	90874619
LINC00642	NA	NA	NA	NA	uc021ryj.1	chr14	90921574	90925249
BC028746	NA	NA	NA	NA	uc001xyq.3	chr14	91108984	91115232
BC039357	NA	NA	NA	NA	uc001xyr.1	chr14	91163677	91165718
SNORA11B	NA	NA	NA	NA	uc010atw.3	chr14	91592770	91592896
C14orf159	uc010atv.2	chr14	91580357	91639686	uc010atu.3	chr14	91580357	91634065
CPSF2	uc001yah.2	chr14	92588298	92597328	uc001yah.2	chr14	92628089	92630543
SLC24A4	uc010twn.2	chr14	92909709	92913763	uc010auj.3	chr14	92959252	92967825
RIN3	uc010auk.3	chr14	92980125	93118408	uc001yar.1	chr14	93125883	93127767
GOLGA5	uc001yaz.1	chr14	93260650	93263782	uc001yba.1	chr14	93305736	93306304
AK093301	NA	NA	NA	NA	uc001ybb.1	chr14	93357769	93359851
CHGA	uc001ybc.4	chr14	93389445	93389704	uc001ybc.4	chr14	93401230	93401638
ITPK1-AS1	NA	NA	NA	NA	uc001ybi.3	chr14	93533797	93538478
TMEM251	uc001ybk.4	chr14	93651296	93652620	uc001ybk.4	chr14	93653017	93653431
UBR7	uc010auq.3	chr14	93676162	93681286	uc001ybm.4	chr14	93693382	93695561
COX8C	uc001ybt.1	chr14	93813537	93813614	uc001ybt.1	chr14	93814467	93814700
UNC79	uc001ybs.1	chr14	93799565	93943986	uc001ybs.1	chr14	94173251	94173689
FAM181A	uc021say.1	chr14	94385240	94394631	uc001ybz.2	chr14	94395511	94395954
LINC00521	uc001ycg.1	chr14	94463642	94467500	uc010twp.2	chr14	94463642	94478041
OTUB2	uc001ych.4	chr14	94492724	94505351	uc001yci.3	chr14	94512269	94515276
IFI27L1	uc001ycl.3	chr14	94547639	94563283	uc001ycl.3	chr14	94568915	94569060
IFI27	uc021sba.1	chr14	94577079	94578028	uc001ycn.1	chr14	94577079	94582279
PPP4R4	uc001ycr.3	chr14	94640649	94640802	uc001ycs.1	chr14	94744981	94746072
SERPINA4	uc001ydk.3	chr14	95027783	95029819	uc010avd.3	chr14	95035933	95036243
SERPINA5	uc010ave.3	chr14	95047706	95053699	uc001ydm.3	chr14	95058577	95059457
SERPINA3	uc001ydo.4	chr14	95058395	95078717	uc001ydr.3	chr14	95078634	95090390
SERPINA13P	uc001ydt.3	chr14	95107062	95107149	uc001ydt.3	chr14	95111364	95113331
DICER1-AS1	NA	NA	NA	NA	uc010twt.1	chr14	95624025	95646270
AK127179	NA	NA	NA	NA	uc001yee.1	chr14	95643820	95646270
GLRX5	uc001yem.1	chr14	96001323	96001426	uc001yem.1	chr14	96010463	96011055
BC038791	NA	NA	NA	NA	uc001yen.1	chr14	96039942	96045018
TCL6	NA	NA	NA	NA	uc021sbg.1	chr14	96117515	96139789
TCL1B	uc001yfa.3	chr14	96152754	96152804	uc021sbi.1	chr14	96129593	96158980
BX247990	NA	NA	NA	NA	uc001yfd.1	chr14	96181820	96223116
LINC00617	NA	NA	NA	NA	uc001yfe.3	chr14	96343109	96391908
C14orf132	uc001yff.4	chr14	96505661	96505837	uc001yff.4	chr14	96553073	96560226
BDKRB2	uc010twu.1	chr14	96671135	96706746	uc010avl.2	chr14	96704154	96710503
BDKRB1	uc001yfh.3	chr14	96722547	96730019	uc001yfh.3	chr14	96731082	96731100
GSKIP	uc001yfj.5	chr14	96829789	96848584	uc001yfj.5	chr14	96852022	96853627
AK7	uc001yfm.1	chr14	96858448	96858491	uc001yfn.3	chr14	96954681	96955764
PAPOLA	uc010avp.3	chr14	96968713	96998900	uc001yfo.3	chr14	96998034	97001935
BC035096	NA	NA	NA	NA	uc001yfs.3	chr14	97059070	97062079
VRK1	uc001yft.3	chr14	97263684	97299808	uc001yft.3	chr14	97347546	97347951
BC038465	NA	NA	NA	NA	uc001yfu.3	chr14	97925207	97930496
JX073282	NA	NA	NA	NA	uc031qqg.1	chr14	98602324	98606215
C14orf177	uc001yfz.2	chr14	99177950	99182528	uc001yfz.2	chr14	99183612	99184103
CCNK	uc001ygi.4	chr14	99947739	99959014	uc001ygi.4	chr14	99977120	99977852
HHIPL1	uc001ygl.1	chr14	100111480	100111544	uc010avs.3	chr14	100141964	100143011
CYP46A1	uc031qql.1	chr14	100151041	100165841	uc001ygn.1	chr14	100174043	100179774
EML1	uc010tww.2	chr14	100239936	100317215	uc010tww.2	chr14	100406450	100408395
Mir_342	NA	NA	NA	NA	uc021sbp.1	chr14	100575992	100576090
EVL	uc001ygv.2	chr14	100485719	100486001	uc001ygv.2	chr14	100604207	100606454
YY1	uc001ygy.2	chr14	100705102	100705581	uc001ygy.2	chr14	100743938	100745371
MIR345	NA	NA	NA	NA	uc010twy.1	chr14	100774196	100774293
SLC25A47	uc001yhd.3	chr14	100789679	100795173	uc001yhc.3	chr14	100795983	100796715
WDR25	uc021sbq.1	chr14	100842771	100847285	uc010avy.3	chr14	100847247	100996640
LINC00523	NA	NA	NA	NA	uc001yhr.1	chr14	101123605	101139081
DLK1	uc001yhu.4	chr14	101193202	101193405	uc001yhs.4	chr14	101201234	101201467
MIR2392	NA	NA	NA	NA	uc021sbt.1	chr14	101280828	101280911
MIR770	NA	NA	NA	NA	uc021sbz.1	chr14	101318727	101318824
MEG3	uc001yid.2	chr14	101297758	101301065	uc001yhy.3	chr14	101292445	101327360
MIR493	NA	NA	NA	NA	uc021sca.1	chr14	101335397	101335485
MIR337	NA	NA	NA	NA	uc010txi.2	chr14	101340830	101340922
MIR665	NA	NA	NA	NA	uc021scb.1	chr14	101341370	101341441
MIR431	NA	NA	NA	NA	uc021scc.1	chr14	101347344	101347457
MIR433	NA	NA	NA	NA	uc021scd.1	chr14	101348223	101348315
MIR127	NA	NA	NA	NA	uc001yig.3	chr14	101349316	101349412
MIR432	NA	NA	NA	NA	uc021sce.1	chr14	101350820	101350913
MIR136	NA	NA	NA	NA	uc010txk.1	chr14	101351039	101351120
MEG8	NA	NA	NA	NA	uc010txl.1	chr14	101361107	101373305
Mir_370	NA	NA	NA	NA	uc021scg.1	chr14	101377476	101377554
SNORD113-1	NA	NA	NA	NA	uc001yii.1	chr14	101391158	101391227
SNORD113-2	NA	NA	NA	NA	uc001yij.3	chr14	101393679	101393749
SNORD113	NA	NA	NA	NA	uc021sck.1	chr14	101443726	101443803
SNORD113-4	NA	NA	NA	NA	uc001yil.3	chr14	101402828	101402901
SNORD113-5	NA	NA	NA	NA	uc001yim.1	chr14	101404524	101404600
SNORD113-6	NA	NA	NA	NA	uc001yin.3	chr14	101405893	101405966
SNORD113-7	NA	NA	NA	NA	uc001yio.3	chr14	101407463	101407538
SNORD113-9	NA	NA	NA	NA	uc001yiq.3	chr14	101411986	101412056
SNORD114-1	NA	NA	NA	NA	uc001yir.3	chr14	101416170	101416240
SNORD114-2	NA	NA	NA	NA	uc001yis.3	chr14	101418193	101418269
SNORD114-3	NA	NA	NA	NA	uc001yit.3	chr14	101419686	101419759
SNORD114-4	NA	NA	NA	NA	uc001yiu.3	chr14	101420681	101420784
SNORD114-5	NA	NA	NA	NA	uc001yiv.3	chr14	101421707	101421775
SNORD114-6	NA	NA	NA	NA	uc001yiw.3	chr14	101423503	101423573
SNORD114-7	NA	NA	NA	NA	uc001yix.1	chr14	101429391	101429466
SNORD114-9	NA	NA	NA	NA	uc001yiz.3	chr14	101432366	101432436
SNORD114-10	NA	NA	NA	NA	uc001yja.3	chr14	101433389	101433459
SNORD114-11	NA	NA	NA	NA	uc001yjb.3	chr14	101434448	101434521
SNORD114-12	NA	NA	NA	NA	uc001yjc.3	chr14	101435285	101435358
SNORD114-13	NA	NA	NA	NA	uc001yjd.3	chr14	101436216	101436288
SNORD114-14	NA	NA	NA	NA	uc001yje.3	chr14	101438440	101438513
SNORD114-15	NA	NA	NA	NA	uc001yjf.1	chr14	101439007	101439077
SNORD114-16	NA	NA	NA	NA	uc001yjg.3	chr14	101439932	101440000
SNORD114-17	NA	NA	NA	NA	uc001yjh.3	chr14	101441143	101441216
SNORD114-18	NA	NA	NA	NA	uc001yji.3	chr14	101442162	101442232
SNORD114-19	NA	NA	NA	NA	uc001yjj.3	chr14	101442814	101442887
SNORD114-20	NA	NA	NA	NA	uc001yjk.1	chr14	101447341	101447411
SNORD114-21	NA	NA	NA	NA	uc001yjl.3	chr14	101448312	101448382
SNORD114-22	NA	NA	NA	NA	uc001yjm.3	chr14	101449263	101449333
SNORD114-23	NA	NA	NA	NA	uc001yjn.3	chr14	101450213	101450283
SNORD114-24	NA	NA	NA	NA	uc001yjo.1	chr14	101451114	101451184
SNORD114-25	NA	NA	NA	NA	uc001yjp.1	chr14	101452394	101452464
SNORD114-26	NA	NA	NA	NA	uc001yjq.3	chr14	101453383	101453453
SNORD114-27	NA	NA	NA	NA	uc001yjr.3	chr14	101454498	101454566
SNORD114-28	NA	NA	NA	NA	uc001yjs.3	chr14	101455467	101455537
SNORD114-29	NA	NA	NA	NA	uc001yjt.1	chr14	101456428	101456496
SNORD114-30	NA	NA	NA	NA	uc001yju.3	chr14	101458256	101458326
SNORD114-31	NA	NA	NA	NA	uc001yjv.3	chr14	101459573	101459646
MIR379	NA	NA	NA	NA	uc010awa.1	chr14	101488403	101488469
MIR411	NA	NA	NA	NA	uc021scm.1	chr14	101489662	101489757
MIR299	NA	NA	NA	NA	uc001yjx.1	chr14	101490131	101490193
MIR1197	NA	NA	NA	NA	uc021sco.1	chr14	101491901	101491988
MIR323A	NA	NA	NA	NA	uc001yjy.1	chr14	101492069	101492154
MIR758	NA	NA	NA	NA	uc021scp.1	chr14	101492357	101492444
MIR329-1	NA	NA	NA	NA	uc021scq.1	chr14	101493122	101493201
MIR329-2	NA	NA	NA	NA	uc021scr.1	chr14	101493437	101493520
MIR494	NA	NA	NA	NA	uc010txm.2	chr14	101495971	101496051
MIR1193	NA	NA	NA	NA	uc021scs.1	chr14	101496389	101496466
MIR543	NA	NA	NA	NA	uc021sct.1	chr14	101498324	101498401
MIR495	NA	NA	NA	NA	uc021scu.1	chr14	101500092	101500173
Mir_154	NA	NA	NA	NA	uc021scx.1	chr14	101505683	101505762
MIR376C	NA	NA	NA	NA	uc010txn.1	chr14	101506027	101506092
MIR654	NA	NA	NA	NA	uc021sda.1	chr14	101506556	101506636
MIR376A1	NA	NA	NA	NA	uc010awc.1	chr14	101507119	101507186
MIR300	NA	NA	NA	NA	uc021sdc.1	chr14	101507700	101507781
MIR1185-1	NA	NA	NA	NA	uc021sdd.1	chr14	101509314	101509398
MIR1185-2	NA	NA	NA	NA	uc021sde.1	chr14	101510535	101510619
MIR381	NA	NA	NA	NA	uc010awd.3	chr14	101512257	101512331
MIR487B	NA	NA	NA	NA	uc021sdf.1	chr14	101512792	101512875
MIR539	NA	NA	NA	NA	uc021sdg.1	chr14	101513658	101513735
MIR889	NA	NA	NA	NA	uc021sdh.1	chr14	101514238	101514316
Mir_544	uc021osj.1	chr1	117134724	117134827	uc021vky.1	chr2	91951945	91952048
MIR655	NA	NA	NA	NA	uc021sdj.1	chr14	101515887	101515983
MIR487A	NA	NA	NA	NA	uc021sdk.1	chr14	101518783	101518862
MIR134	NA	NA	NA	NA	uc010txo.1	chr14	101521024	101521096
MIR485	NA	NA	NA	NA	uc021sdm.1	chr14	101521756	101521828
MIR323B	NA	NA	NA	NA	uc021sdn.1	chr14	101522556	101522637
MIR154	NA	NA	NA	NA	uc010awg.3	chr14	101526092	101526175
MIR496	NA	NA	NA	NA	uc021sdp.1	chr14	101526910	101527011
MIR377	NA	NA	NA	NA	uc010awh.1	chr14	101528387	101528455
MIR541	NA	NA	NA	NA	uc021sdq.1	chr14	101530832	101530915
MIR409	NA	NA	NA	NA	uc021sdr.1	chr14	101531637	101531715
MIR412	NA	NA	NA	NA	uc021sds.1	chr14	101531784	101531874
MIR369	NA	NA	NA	NA	uc010txp.1	chr14	101531935	101532004
MIR410	NA	NA	NA	NA	uc021sdt.1	chr14	101532249	101532328
MIR656	NA	NA	NA	NA	uc021sdv.1	chr14	101533061	101533138
MEG9	NA	NA	NA	NA	uc001yjz.2	chr14	101536248	101539273
DIO3	uc021sdx.1	chr14	102027688	102027833	uc021sdx.1	chr14	102028749	102029789
LINC00239	uc010awj.3	chr14	102196774	102198142	uc010awj.3	chr14	102198801	102198862
PPP2R5C	uc010txs.1	chr14	102276140	102276309	uc001ykq.3	chr14	102375992	102378962
DYNC1H1	uc001ykt.1	chr14	102481442	102482739	uc001ykt.1	chr14	102489272	102490140
WDR20	uc001ylf.3	chr14	102606189	102606260	uc001yla.3	chr14	102659812	102676867
ZNF839	uc001ylo.3	chr14	102783714	102792381	uc001ylp.3	chr14	102786088	102809511
TECPR2	uc010txx.2	chr14	102829300	102843119	uc001ylw.2	chr14	102964595	102968818
MIR4309	NA	NA	NA	NA	uc021sed.1	chr14	103005981	103006063
RCOR1	uc001ymb.4	chr14	103058996	103059223	uc001ymb.4	chr14	103192844	103196913
TRAF3	uc001ymc.2	chr14	103243816	103336538	uc001ymc.2	chr14	103372122	103377837
AMN	uc001ymh.4	chr14	103389259	103390166	uc001ymg.4	chr14	103397018	103397179
EXOC3L4	uc001ymk.3	chr14	103566481	103566556	uc001ymk.3	chr14	103576561	103576894
BC017818	NA	NA	NA	NA	uc001yml.1	chr14	103589779	103592874
TNFAIP2	uc010txz.1	chr14	103593342	103596356	uc001ymm.1	chr14	103601698	103603776
SNORA28	NA	NA	NA	NA	uc001ymv.1	chr14	103804186	103804311
EIF5	uc001ymq.4	chr14	103800339	103802197	uc001ymq.4	chr14	103807390	103811361
MARK3	uc001ymz.4	chr14	103851701	103852366	uc001ymz.4	chr14	103969565	103970166
TRMT61A	uc010aws.3	chr14	103995509	104000935	uc001yng.3	chr14	104001159	104003410
APOPT1	uc010tyc.2	chr14	104029299	104029299	uc010tyc.2	chr14	104056624	104057236
KLC1	uc010tye.1	chr14	104095525	104120913	uc001yns.3	chr14	104142026	104167888
AK097119	NA	NA	NA	NA	uc001ynw.1	chr14	104153241	104156517
ZFYVE21	uc001yod.3	chr14	104182081	104182178	uc001yoe.3	chr14	104197768	104200005
LINC00637	NA	NA	NA	NA	uc001yoh.1	chr14	104314058	104324386
TDRD9	uc031qqq.1	chr14	104515755	104515991	uc001yom.4	chr14	104518420	104519004
ASPG	uc001yoo.2	chr14	104552023	104559552	uc001yoq.2	chr14	104578882	104579046
MIR203	NA	NA	NA	NA	uc010tyg.2	chr14	104583742	104583851
KIF26A	NA	NA	NA	NA	uc001yos.4	chr14	104646128	104647235
C14orf180	uc010tyh.1	chr14	105046056	105052767	uc001yow.1	chr14	105055121	105056183
INF2	uc001yoy.4	chr14	105155943	105167702	uc010awz.1	chr14	105173590	105185947
ADSSL1	uc001ypd.3	chr14	105190534	105190607	uc001ypf.3	chr14	105196228	105213647
SIVA1	uc010tyj.1	chr14	105219470	105219538	uc001ypg.1	chr14	105222350	105225990
ZBTB42	uc001ypp.3	chr14	105266933	105267534	uc001ypp.3	chr14	105268804	105271048
LINC00638	uc001ypq.4	chr14	105287538	105287590	uc001ypq.4	chr14	105287912	105290055
CEP170B	uc001yps.3	chr14	105331650	105344236	uc010axb.4	chr14	105361296	105363107
PLD4	uc010tyl.1	chr14	105391187	105393456	uc001ypu.1	chr14	105399302	105399573
C14orf79	uc001ypy.1	chr14	105452616	105452768	uc001ypz.1	chr14	105452616	105461855
BTBD6	uc010tyq.2	chr14	105714879	105715207	uc010tyq.2	chr14	105717010	105717430
PACS2	uc001yqs.2	chr14	105767170	105814911	uc001yqs.2	chr14	105861010	105864484
TEX22	uc001yqw.3	chr14	105864920	105865677	uc001yqw.3	chr14	105878171	105880196
MTA1	uc001yqz.1	chr14	105905009	105916411	uc001yqy.3	chr14	105930901	105937057
CRIP2	uc001yrc.3	chr14	105939398	105939777	uc031qqs.1	chr14	105939275	105946507
CRIP1	uc001yri.4	chr14	105953257	105953596	uc001yri.4	chr14	105954849	105955124
C14orf80	uc001yrj.3	chr14	105956192	105957439	uc001yrj.3	chr14	105965284	105965585
TMEM121	uc001yrp.1	chr14	105992953	105995171	uc001yrp.1	chr14	105996132	105996539
KIAA0125	uc001ysq.3	chr14	106355980	106386951	uc001yst.3	chr14	106383838	106398502
LINC00226	NA	NA	NA	NA	uc021seu.1	chr14	106744269	106744966
LINC00221	NA	NA	NA	NA	uc001ysy.2	chr14	106938455	106951529
LOC642426	uc031qnr.1	chr14	19407015	19410111	NA	NA	NA	NA
LOC101101776	uc001vvo.1	chr14	19670792	19681016	NA	NA	NA	NA
BC041856	uc010ahe.1	chr14	19880209	19925333	NA	NA	NA	NA
POTEM	uc001vwb.3	chr14	19983954	20020272	uc001vwc.3	chr14	19983954	19990547
OR4K14	NA	NA	NA	NA	NA	NA	NA	NA
OR4K13	NA	NA	NA	NA	NA	NA	NA	NA
TTC5	uc001vwu.3	chr14	20767575	20774153	uc001vwt.3	chr14	20757301	20757785
SNORA79	uc021rnq.1	chr14	20791338	20791485	NA	NA	NA	NA
SNORD126	uc010ahi.1	chr14	20794600	20794698	NA	NA	NA	NA
CCNB1IP1	uc010ahh.2	chr14	20783644	20801471	uc001vwv.4	chr14	20779527	20779708
RPPH1	uc001vxa.1	chr14	20811230	20811570	NA	NA	NA	NA
TEP1	uc010tlf.1	chr14	20836067	20881579	uc010ahk.3	chr14	20833826	20837009
KLHL33	uc010tli.2	chr14	20898835	20903801	uc010tli.2	chr14	20896970	20897007
OSGEP	uc001vxf.3	chr14	20922843	20923267	uc001vxf.3	chr14	20915207	20915398
TMEM55B	uc001vxk.2	chr14	20929485	20929637	uc001vxk.2	chr14	20926012	20926717
RNASE9	uc010aho.3	chr14	21025229	21029090	uc001vxq.4	chr14	21024252	21024610
RNASE11	uc001vxs.3	chr14	21052634	21058417	uc010ahv.3	chr14	21051052	21052033
RNASE12	uc001vxt.3	chr14	21058883	21058982	uc001vxt.3	chr14	21058240	21058438
OR6S1	NA	NA	NA	NA	NA	NA	NA	NA
RNASE1	uc001vyg.3	chr14	21270228	21271036	uc001vyf.3	chr14	21269515	21269756
NDRG2	uc001vzb.3	chr14	21490611	21493264	uc001vyt.3	chr14	21484922	21485754
RNASE13	uc001vzj.3	chr14	21502448	21502944	uc001vzj.3	chr14	21500979	21501976
ZNF219	uc010aik.1	chr14	21561751	21572863	uc001vzr.2	chr14	21558205	21558694
OR5AU1	NA	NA	NA	NA	NA	NA	NA	NA
LINC00641	uc021rov.1	chr14	21668238	21675059	NA	NA	NA	NA
HNRNPC	uc001vzx.3	chr14	21677296	21737638	uc001vzw.3	chr14	21677296	21679381
SUPT16H	uc001wao.2	chr14	21852087	21852425	uc001wao.2	chr14	21819631	21820831
SNORD9	uc001wat.1	chr14	21860310	21860412	NA	NA	NA	NA
SNORD8	uc001wau.1	chr14	21865452	21865560	NA	NA	NA	NA
CHD8	uc001was.2	chr14	21899976	21905457	uc001war.2	chr14	21853353	21853771
RAB2B	uc010ain.4	chr14	21927179	21945132	uc010tls.2	chr14	21927179	21929354
METTL3	uc010tlw.1	chr14	21969055	21979457	uc010tlx.2	chr14	21969294	21969850
SALL2	uc001wbe.3	chr14	22005056	22005337	uc010tly.2	chr14	21989232	21990837
OR10G3	NA	NA	NA	NA	NA	NA	NA	NA
OR10G2	NA	NA	NA	NA	NA	NA	NA	NA
AK125397	uc001wdt.1	chr14	22887718	22901726	uc001wdt.1	chr14	22886528	22887303
hDV103S1	uc001web.1	chr14	22938607	22938658	NA	NA	NA	NA
AK093552	uc001wds.1	chr14	22849083	22951948	NA	NA	NA	NA
DAD1	uc001wgl.2	chr14	23058064	23058143	uc001wgl.2	chr14	23033807	23044002
SLC7A7	uc001wgu.4	chr14	23282608	23289020	uc001wgr.4	chr14	23242432	23242818
RBM23	uc001whj.3	chr14	23374198	23388396	uc001whk.1	chr14	23371966	23373369
PRMT5	uc010tnf.1	chr14	23396867	23398661	uc001whm.1	chr14	23389733	23390112
HAUS4	uc001who.3	chr14	23415437	23424385	uc001whw.3	chr14	23415437	23415733
MIR4707	uc021rqu.1	chr14	23426159	23426238	NA	NA	NA	NA
AJUBA	uc001why.3	chr14	23444302	23446432	uc001why.3	chr14	23440410	23442651
C14orf93	uc001wif.3	chr14	23467693	23479360	uc001wib.2	chr14	23456110	23456423
PSMB5	uc010tni.2	chr14	23502773	23504429	uc001wij.3	chr14	23495060	23495562
CDH24	uc001wil.3	chr14	23524943	23526747	uc001wil.3	chr14	23516270	23517188
ACIN1	uc001wio.4	chr14	23527774	23538826	uc001wip.4	chr14	23527774	23528356
CEBPE	uc001wiv.2	chr14	23588301	23588820	uc001wiv.2	chr14	23586515	23586695
