ID	IPI	HGNC.symbol	Ensembl.Gene.ID	Chromosome.Name	Gene.Start..bp.	Gene.End..bp.	Strand
ID3030	IPI00014533	UBTF	ENSG00000108312	17	42282401	42298994	-1
ID3031	NA	AFAP1-AS1	ENSG00000272620	4	7755817	7780655	1
ID3032	NA	MUC20	ENSG00000176945	3	195447753	195467994	1
ID3033	NA	SF3B2	ENSG00000087365	11	65818200	65836779	1
ID3034	IPI00002501	ATF1	ENSG00000123268	12	51157493	51214905	1
ID3035	NA	KCNJ2-AS1	ENSG00000267365	17	68163102	68165543	-1
ID3036	IPI00939914	TNRC18	ENSG00000182095	7	5346421	5465045	-1
ID3037	NA	NTN5	ENSG00000142233	19	49164664	49176338	-1
ID3038	NA	GOLM1	ENSG00000135052	9	88641061	88715088	-1
ID3039	IPI00556430	STX16	ENSG00000124222	20	57226328	57254582	1
ID3041	IPI00333420	SRPK2	ENSG00000135250	7	104751151	105039755	-1
ID3044	IPI00401002	ZNF740	ENSG00000139651	12	53574484	53584596	1
ID3045	IPI00029015	KDSR	ENSG00000119537	18	60994959	61034743	-1
ID3046	NA	TMEM184A	ENSG00000164855	7	1581871	1600457	-1
ID3047	IPI00059368	RFT1	ENSG00000163933	3	53122499	53164478	-1
ID3048	NA	PVT1	ENSG00000249859	8	128806779	129113499	1
ID3049	IPI00167713	PIGW	ENSG00000184886	17	34890847	34895159	1
ID3050	NA	KIAA1107	ENSG00000069712	1	92632542	92650280	1
ID3051	IPI00289271	PPFIA2	ENSG00000139220	12	81652045	82153332	-1
ID3052	IPI01012188	EFCAB5	ENSG00000176927	17	28256218	28435470	1
ID3053	IPI00878520	EFCAB5	ENSG00000176927	17	28256218	28435470	1
ID3054	IPI00329143	TSEN54	ENSG00000182173	17	73512141	73520820	1
ID3055	NA	GIGYF2	ENSG00000204120	2	233562009	233725285	1
ID3056	IPI00894087	THADA	ENSG00000115970	2	43393800	43823185	-1
ID3059	NA	HOOK3	ENSG00000168172	8	42752075	42885682	1
ID3060	IPI00394849	PAQR9	ENSG00000188582	3	142668006	142682178	-1
ID3061	IPI00783225	TMEM72	ENSG00000187783	10	45406648	45432450	1
ID3062	IPI00884963	TMEM72	ENSG00000187783	10	45406648	45432450	1
ID3063	NA	ZDHHC18	ENSG00000204160	1	27153201	27184093	1
ID3064	IPI00783999	TONSL	ENSG00000160949	8	145654165	145669827	-1
ID3065	NA	SIRT2	ENSG00000068903	19	39369197	39390502	-1
ID3066	NA	C22orf15	ENSG00000169314	22	24105208	24108048	1
ID3067	NA	LPP	ENSG00000145012	3	187871072	188608460	1
ID3068	NA	SEMA6A	ENSG00000092421	5	115779312	115910630	-1
ID3069	IPI00719830	DIXDC1	ENSG00000150764	11	111797868	111893308	1
ID3070	IPI00440194	DIXDC1	ENSG00000150764	11	111797868	111893308	1
ID3071	NA	COX17	ENSG00000138495	3	119373360	119396301	-1
ID3073	NA	UACA	ENSG00000137831	15	70946893	71055932	-1
ID3074	IPI00169383	PGK1	ENSG00000102144	X	77320685	77384793	1
ID3075	IPI01013479	MPHOSPH9	ENSG00000051825	12	123636867	123728561	-1
ID3078	IPI00059708	LRRC38	ENSG00000162494	1	13801445	13840543	-1
ID3079	IPI00856045	AHNAK2	ENSG00000185567	14	105403581	105444694	-1
ID3081	NA	KPNA4	ENSG00000186432	3	160212783	160283376	-1
ID3083	IPI00872255	ZNF599	ENSG00000153896	19	35248981	35264134	-1
ID3084	IPI00239406	SYNE2	ENSG00000054654	14	64319683	64693165	1
ID3085	NA	KRT7	ENSG00000135480	12	52626304	52645970	1
ID3086	NA	PECAM1	ENSG00000261371	HG183_PATCH	62399863	62491136	-1
ID3087	IPI00291809	ANKRD24	ENSG00000089847	19	4183351	4224811	1
ID3088	IPI00889539	ANKRD24	ENSG00000089847	19	4183351	4224811	1
ID3090	IPI00867660	PLEKHG2	ENSG00000090924	19	39903225	39919054	1
ID3091	NA	EGFEM1P	ENSG00000206120	3	167967310	168548387	1
ID3093	IPI00292304	FRRS1L	ENSG00000260230	9	111892573	111929571	-1
ID3094	IPI00167543	C14orf180	ENSG00000184601	14	105046021	105056852	1
ID3095	NA	LINC00265	ENSG00000188185	7	39773231	39832691	1
ID3096	IPI00045842	ORAI2	ENSG00000160991	7	102073553	102097268	1
ID3097	IPI00927232	ALS2CR11	ENSG00000155754	2	202352148	202483901	-1
ID3098	NA	PDXDC1	ENSG00000179889	16	15068448	15233196	1
ID3099	IPI00397942	NHLRC4	ENSG00000257108	16	616996	619495	1
ID3100	NA	IGHE	ENSG00000211891	14	106064224	106068065	-1
ID3101	IPI00399005	IGHE	ENSG00000211891	14	106064224	106068065	-1
ID3103	NA	A2M	ENSG00000175899	12	9220260	9268825	-1
ID3105	IPI00965079	TMEM144	ENSG00000164124	4	159122756	159176563	1
ID3107	IPI00796678	ABCC5	ENSG00000114770	3	183637722	183735803	-1
ID3108	NA	UGGT2	ENSG00000102595	13	96453834	96705736	-1
ID3109	IPI00927168	LPP	ENSG00000145012	3	187871072	188608460	1
ID3110	NA	VWA3B	ENSG00000168658	2	98703579	98929762	1
ID3111	NA	BEND5	ENSG00000162373	1	49193195	49242641	-1
ID3114	IPI00297690	LRRC27	ENSG00000148814	10	134145614	134195010	1
ID3115	IPI00384591	LRRC27	ENSG00000148814	10	134145614	134195010	1
ID3116	NA	ZNF493	ENSG00000196268	19	21579921	21610375	1
ID3117	IPI00914908	TMED4	ENSG00000158604	7	44617493	44621886	-1
ID3120	IPI00980135	DNM3	ENSG00000197959	1	171810621	172387606	1
ID3121	IPI00641436	DNM3	ENSG00000197959	1	171810621	172387606	1
ID3122	IPI00374044	C1orf53	ENSG00000203724	1	197871777	197876497	1
ID3123	NA	FTX	ENSG00000230590	X	73183790	73513409	-1
ID3124	IPI00152642	LRRC8C	ENSG00000171488	1	90098631	90235462	1
ID3125	NA	TAB3	ENSG00000157625	X	30845559	30993201	-1
ID3126	NA	KANSL1L	ENSG00000144445	2	210886147	211036107	-1
ID3128	NA	FAM184A	ENSG00000111879	6	119280928	119470552	-1
ID3132	IPI01014216	LRTM2	ENSG00000166159	12	1929433	1945918	1
ID3133	NA	TPM1	ENSG00000140416	15	63334831	63364114	1
ID3134	IPI00217917	KRBA2	ENSG00000184619	17	8271955	8280029	-1
ID3136	IPI00397691	ZNF844	ENSG00000223547	19	12175514	12192380	1
ID3137	IPI00982338	SLC2A11	ENSG00000133460	22	24198890	24228496	1
ID3138	IPI00167751	KIAA1456	ENSG00000250305	8	12803151	12889012	1
ID3139	IPI00514775	C1orf86	ENSG00000162585	1	2115903	2144159	-1
ID3140	IPI00031065	DNASE1	ENSG00000213918	16	3661729	3730144	1
ID3141	IPI00030871	VNN1	ENSG00000112299	6	133002729	133035188	-1
ID3142	IPI00788855	C3orf55	ENSG00000174899	3	157261035	157395538	1
ID3143	NA	CAMK1	ENSG00000134072	3	9799026	9811676	-1
ID3144	NA	C16orf62	ENSG00000103544	16	19566562	19718115	1
ID3145	IPI00555943	BLZF1	ENSG00000117475	1	169337208	169365778	1
ID3146	IPI00477282	AKNA	ENSG00000106948	9	117096436	117156685	-1
ID3148	NA	ZMYND8	ENSG00000101040	20	45837859	45985567	-1
ID3149	NA	MCTS1	ENSG00000232119	X	119727865	119754929	1
ID3151	NA	SLC13A4	ENSG00000164707	7	135365985	135414006	-1
ID3153	IPI00788195	TEX22	ENSG00000226174	14	105864916	105916443	1
ID3154	IPI00167196	UBL4B	ENSG00000186150	1	110655062	110656569	1
ID3155	NA	ZNF33B	ENSG00000196693	10	43084555	43133992	-1
ID3159	IPI00911033	METTL17	ENSG00000165792	14	21457929	21465189	1
ID3163	IPI00657782	SSBP2	ENSG00000145687	5	80708840	81047616	-1
ID3164	NA	PAPPA	ENSG00000182752	9	118916083	119164601	1
ID3165	IPI00375339	ATP1A4	ENSG00000132681	1	160121360	160156767	1
ID3167	IPI00413350	ZNF621	ENSG00000172888	3	40566369	40616176	1
ID3168	NA	CABLES1	ENSG00000134508	18	20714528	20840431	1
ID3171	IPI00020097	PPARA	ENSG00000186951	22	46546424	46639653	1
ID3172	IPI00009143	ADAMTS5	ENSG00000154736	21	28290231	28338832	-1
ID3173	IPI00965317	SPATA24	ENSG00000170469	5	138732252	138739777	-1
ID3174	IPI00306046	EDIL3	ENSG00000164176	5	83236373	83680611	-1
ID3175	NA	MIB1	ENSG00000101752	18	19284918	19450918	1
ID3176	IPI00885020	SH3D19	ENSG00000109686	4	152023903	152246784	-1
ID3177	IPI00402007	C15orf57	ENSG00000128891	15	40820882	40857256	-1
ID3180	NA	KANSL3	ENSG00000114982	2	97258907	97308524	-1
ID3181	NA	MLK7-AS1	ENSG00000238133	2	174031174	174146764	-1
ID3182	NA	PPM1H	ENSG00000111110	12	63037762	63328817	-1
ID3183	NA	ZNF391	ENSG00000124613	6	27342394	27371683	1
ID3186	IPI00787434	BANK1	ENSG00000153064	4	102332443	102995969	1
ID3187	NA	SPATA22	ENSG00000141255	17	3343313	3417146	-1
ID3188	IPI00186615	SPATA22	ENSG00000141255	17	3343313	3417146	-1
ID3189	IPI00329233	ZNF77	ENSG00000175691	19	2933216	2944969	-1
ID3190	NA	MALAT1	ENSG00000251562	11	65265233	65273940	1
ID3191	NA	C20orf112	ENSG00000197183	20	31030862	31172876	-1
ID3192	IPI00008282	PDE1A	ENSG00000115252	2	183004763	183387919	-1
ID3193	IPI00759481	HMGA2	ENSG00000149948	12	66217911	66360075	1
ID3195	IPI00006163	FOXN1	ENSG00000109101	17	26833261	26865914	1
ID3197	NA	DOCK4	ENSG00000128512	7	111366166	111846466	-1
ID3198	NA	C1orf85	ENSG00000198715	1	156259880	156265463	-1
ID3199	IPI00647672	C1orf85	ENSG00000198715	1	156259880	156265463	-1
ID3200	IPI00941715	KIAA0430	ENSG00000166783	16	15688243	15737023	-1
ID3201	IPI00011665	ZNF264	ENSG00000083844	19	57702868	57724724	1
ID3202	IPI00243553	ZNF260	ENSG00000254004	19	37001597	37019562	-1
ID3203	NA	TEX10	ENSG00000136891	9	103064359	103115221	-1
ID3204	IPI00043883	SLC46A1	ENSG00000076351	17	26721661	26734215	-1
ID3205	NA	ATOH8	ENSG00000168874	2	85978467	86015189	1
ID3206	NA	NRXN1	ENSG00000179915	2	50145643	51259674	-1
ID3207	NA	FAM13A-AS1	ENSG00000248019	4	89630940	89651254	1
ID3208	NA	TMEM134	ENSG00000172663	11	67231824	67236743	-1
ID3209	IPI00655860	RPAIN	ENSG00000129197	17	5322961	5336196	1
ID3210	NA	ZNF252P	ENSG00000196922	8	146198975	146228281	-1
ID3211	NA	SRRM3	ENSG00000177679	7	75831216	75916605	1
ID3212	NA	SERP2	ENSG00000151778	13	44947801	44971850	1
ID3214	NA	MAP4K4	ENSG00000071054	2	102313312	102511149	1
ID3215	IPI00968181	ZBTB38	ENSG00000177311	3	141043055	141168634	1
ID3216	NA	NOL3	ENSG00000140939	16	67204057	67209643	1
ID3217	NA	ZNF620	ENSG00000177842	3	40547483	40560227	1
ID3218	IPI00166504	SNX29	ENSG00000048471	16	12070594	12668146	1
ID3219	IPI00890837	SMCHD1	ENSG00000101596	18	2655737	2805015	1
ID3221	IPI00924719	ZNF763	ENSG00000197054	19	12035890	12091196	1
ID3222	NA	C2CD3	ENSG00000168014	11	73723763	73882255	-1
ID3223	IPI00789331	CLASP2	ENSG00000163539	3	33537737	33759848	-1
ID3224	NA	FAM120AOS	ENSG00000188938	9	96208776	96215874	-1
ID3225	IPI00946668	ZNF789	ENSG00000198556	7	99070464	99101273	1
ID3227	IPI00885046	DNAH1	ENSG00000114841	3	52350335	52434507	1
ID3228	IPI00917176	DNAH1	ENSG00000114841	3	52350335	52434507	1
ID3229	NA	PIK3R6	ENSG00000174083	17	8706041	8770994	-1
ID3230	IPI00039864	RANBP10	ENSG00000141084	16	67757005	67840555	-1
ID3231	IPI00328260	NSMAF	ENSG00000035681	8	59496063	59572403	-1
ID3232	IPI00335643	MKL2	ENSG00000186260	16	14165178	14360630	1
ID3233	IPI00329152	MKL2	ENSG00000186260	16	14165178	14360630	1
ID3234	NA	H2AFY	ENSG00000113648	5	134669590	134735604	-1
ID3237	NA	RGS5	ENSG00000143248	1	163080911	163291577	-1
ID3238	IPI00030941	TSPAN3	ENSG00000140391	15	77336359	77376326	-1
ID3239	NA	ZNF252P-AS1	ENSG00000255559	8	146228197	146231432	1
ID3241	NA	AP2A1	ENSG00000196961	19	50270225	50310370	1
ID3242	NA	FRY-AS1	ENSG00000237637	13	32599451	32605776	-1
ID3245	IPI00739581	ATAD2B	ENSG00000119778	2	23971534	24149984	-1
ID3247	NA	TMED5	ENSG00000117500	1	93615299	93646285	-1
ID3248	IPI00294472	TMED5	ENSG00000117500	1	93615299	93646285	-1
ID3249	NA	ZNF664	ENSG00000179195	12	124456392	124499986	1
ID3252	IPI01014623	NBPF3	ENSG00000142794	1	21766621	21811498	1
ID3253	IPI00791079	ZNF831	ENSG00000124203	20	57766075	57834168	1
ID3254	NA	MIR143HG	ENSG00000249669	5	148786252	148808241	1
ID3256	IPI00894236	MAPKBP1	ENSG00000137802	15	42066632	42120053	1
ID3257	NA	CWC27	ENSG00000153015	5	64064757	64314590	1
ID3260	IPI00555837	PNLIPRP3	ENSG00000203837	10	118187379	118237469	1
ID3261	NA	LINC00565	ENSG00000260910	13	114629487	114631817	-1
ID3262	NA	NUDT22	ENSG00000149761	11	63993413	63998158	1
ID3264	NA	FARP2	ENSG00000006607	2	242295658	242434256	1
ID3265	IPI00045565	DMRTA2	ENSG00000142700	1	50883222	50889172	-1
ID3266	NA	DSE	ENSG00000111817	6	116575336	116762424	1
ID3267	IPI01015741	SREBF1	ENSG00000072310	17	17713713	17740325	-1
ID3269	NA	HTATSF1P2	ENSG00000271361	6	3023376	3024006	-1
ID3270	IPI00472354	ZNF321P	ENSG00000221874	19	53431728	53466076	-1
ID3272	IPI00977092	CCDC67	ENSG00000165325	11	93063137	93171653	1
ID3273	IPI00145260	IBA57	ENSG00000181873	1	228353516	228369958	1
ID3274	IPI00783437	PLK5	ENSG00000185988	19	1524073	1535455	1
ID3278	NA	DESI2	ENSG00000121644	1	244816237	244872335	1
ID3279	NA	PEX14	ENSG00000142655	1	10532345	10690815	1
ID3280	NA	SEC23IP	ENSG00000107651	10	121652223	121702014	1
ID3282	IPI00217113	CLIP1	ENSG00000130779	12	122755979	122907179	-1
ID3283	NA	LINC00460	ENSG00000233532	13	107028911	107030565	1
ID3284	NA	LRRC16A	ENSG00000079691	6	25279306	25620758	1
ID3285	NA	GTF2H5	ENSG00000272047	6	158589384	158620376	1
ID3286	IPI00418600	ZNF704	ENSG00000164684	8	81540686	81787016	-1
ID3287	IPI01013883	ZNF765	ENSG00000196417	19	53893046	53930574	1
ID3288	IPI00965780	ZNF765	ENSG00000196417	19	53893046	53930574	1
ID3290	IPI00894018	TNRC18	ENSG00000182095	7	5346421	5465045	-1
ID3291	IPI00979107	CEP164	ENSG00000110274	11	117185273	117283984	1
ID3293	IPI00946296	IFT80	ENSG00000068885	3	159974774	160117668	-1
ID3294	NA	CEPT1	ENSG00000134255	1	111682249	111727724	1
ID3295	IPI00925834	FAM126B	ENSG00000155744	2	201838441	201936394	-1
ID3296	IPI00847978	FAT3	ENSG00000165323	11	92085262	92629618	1
ID3297	NA	PHF21A	ENSG00000135365	11	45950871	46142985	-1
ID3298	NA	HCG18	ENSG00000230660	HSCHR6_MHC_MANN	30303261	30339598	-1
ID3299	NA	RPL32P3	ENSG00000251474	3	129101765	129118498	-1
ID3300	IPI00944562	THEMIS	ENSG00000172673	6	128029217	128239776	-1
ID3303	NA	LRRC41	ENSG00000132128	1	46726868	46769280	-1
ID3304	NA	MAP3K11	ENSG00000173327	11	65365226	65382853	-1
ID3305	IPI00874135	ZNF547	ENSG00000152433	19	57874845	57890933	1
ID3306	NA	FOXP1	ENSG00000114861	3	71003844	71633140	-1
ID3307	NA	PDPR	ENSG00000090857	16	70147529	70195203	1
ID3310	IPI00807380	CCDC163P	ENSG00000236624	1	45959538	45965751	-1
ID3311	IPI00889646	CNTLN	ENSG00000044459	9	17134980	17503921	1
ID3315	NA	PTPRE	ENSG00000132334	10	129705325	129884119	1
ID3316	NA	C3orf52	ENSG00000114529	3	111805182	111849851	1
ID3321	NA	EXOSC10	ENSG00000171824	1	11126675	11159938	-1
ID3323	IPI00552528	SIRPB2	ENSG00000196209	20	1451386	1472233	-1
ID3324	NA	C4B	ENSG00000224639	HSCHR6_MHC_MCF	32026249	32026275	1
ID3326	NA	DHX36	ENSG00000174953	3	153990335	154042286	-1
ID3327	NA	NDUFB6	ENSG00000165264	9	32552997	32573160	-1
ID3328	NA	EXOSC1	ENSG00000171311	10	99195899	99205774	-1
ID3330	NA	BAHCC1	ENSG00000266074	HG271_PATCH	79369275	79440126	1
ID3331	IPI00807608	HCG27	ENSG00000238148	HSCHR6_MHC_MANN	31210528	31210949	1
ID3332	IPI00298007	MB21D1	ENSG00000164430	6	74123238	74161999	-1
ID3333	IPI00419979	PAK2	ENSG00000180370	3	196466728	196559518	1
ID3334	IPI00297921	ZNF611	ENSG00000213020	19	53206066	53238326	-1
ID3335	NA	FNIP1	ENSG00000217128	5	130977407	131132710	-1
ID3337	NA	NUP153	ENSG00000124789	6	17615269	17706656	-1
ID3338	IPI00243602	CLEC4G	ENSG00000182566	19	7793843	7798792	-1
ID3339	NA	MTHFS	ENSG00000136371	15	80125927	80189721	-1
ID3340	IPI00289849	ELFN2	ENSG00000166897	22	37764000	37823505	-1
ID3341	NA	KDM4B	ENSG00000127663	19	4969125	5153606	1
ID3342	IPI00845508	BAHCC1	ENSG00000266074	HG271_PATCH	79369275	79440126	1
ID3343	IPI00552992	ABI3BP	ENSG00000154175	3	100468000	100712359	-1
ID3344	NA	BCL11A	ENSG00000119866	2	60678302	60780702	-1
ID3346	IPI00908514	FGD2	ENSG00000146192	6	36973422	36996846	1
ID3347	NA	SLC9A5	ENSG00000135740	16	67271586	67306093	1
ID3349	IPI00946968	FBXO9	ENSG00000112146	6	52916789	52965671	1
ID3350	IPI01025885	C14orf64	ENSG00000246223	14	98391947	98444461	-1
ID3351	NA	FYN	ENSG00000010810	6	111981535	112194655	-1
ID3352	NA	LEKR1	ENSG00000197980	3	156543270	156763918	1
ID3354	NA	ARIH2	ENSG00000177479	3	48956254	49023815	1
ID3357	NA	RRP12	ENSG00000052749	10	99116115	99161127	-1
ID3358	NA	HSDL2	ENSG00000119471	9	115142217	115234690	1
ID3359	NA	MIRLET7DHG	ENSG00000230262	9	96938884	96966850	-1
ID3360	NA	TMEM80	ENSG00000177042	11	695428	705028	1
ID3362	IPI00470628	SPATA19	ENSG00000166118	11	133710526	133715433	-1
ID3363	NA	NOC2L	ENSG00000188976	1	879584	894689	-1
ID3364	NA	FAM87A	ENSG00000182366	8	325931	333174	-1
ID3365	NA	KAT6A	ENSG00000083168	8	41786997	41909508	-1
ID3367	NA	CEP68	ENSG00000011523	2	65283500	65314138	1
ID3369	IPI00167459	MPV17L	ENSG00000156968	16	15489611	15507125	1
ID3371	NA	ANKRD20A5P	ENSG00000186481	18	14179096	14249455	1
ID3373	NA	RAB6A	ENSG00000175582	11	73386683	73472182	-1
ID3375	NA	RDH13	ENSG00000160439	19	55550476	55582659	-1
ID3376	NA	CLEC4GP1	ENSG00000268297	19	7852435	7855507	1
ID3377	IPI00979370	KRAS	ENSG00000133703	12	25357723	25403870	-1
ID3378	IPI01026223	KRAS	ENSG00000133703	12	25357723	25403870	-1
ID3379	NA	PSEN1	ENSG00000080815	14	73603126	73690399	1
ID3380	IPI00796873	ST7-OT4	ENSG00000214188	7	116593953	116738860	1
ID3381	IPI00071697	NFYC	ENSG00000066136	1	41157320	41237275	1
ID3384	IPI00374334	LCE1E	ENSG00000186226	1	152758690	152760902	1
ID3385	IPI00027969	VHL	ENSG00000134086	3	10182692	10193904	1
ID3386	IPI00980458	CLU	ENSG00000120885	8	27454434	27472548	-1
ID3387	NA	SOX30	ENSG00000039600	5	157052687	157098488	-1
ID3389	IPI00030363	ACAT1	ENSG00000075239	11	107992243	108018503	1
ID3391	IPI00921870	FMN2	ENSG00000155816	1	240177648	240638489	1
ID3392	NA	ATXN1	ENSG00000124788	6	16299343	16761722	-1
ID3393	NA	AP5S1	ENSG00000125843	20	3801178	3805949	1
ID3394	NA	LINC00162	ENSG00000224930	21	46419122	46424642	-1
ID3395	NA	MAGI1	ENSG00000151276	3	65339200	66024509	-1
ID3397	IPI00885202	PKD1L2	ENSG00000166473	16	81134480	81253975	-1
ID3398	IPI00854887	PPIL4	ENSG00000131013	6	149825869	149867174	-1
ID3400	IPI00982484	SKIDA1	ENSG00000180592	10	21802407	21814611	-1
ID3401	NA	ADAM23	ENSG00000114948	2	207308263	207485851	1
ID3402	IPI00984133	ZFHX4	ENSG00000091656	8	77593454	77779521	1
ID3403	IPI00300565	EXOC3L1	ENSG00000179044	16	67218269	67224107	-1
ID3404	NA	ZNF732	ENSG00000186777	4	264464	299110	-1
ID3408	IPI00855710	CNPY1	ENSG00000146910	7	155266901	155326557	-1
ID3409	NA	TADA1	ENSG00000152382	1	166825747	166845564	-1
ID3410	NA	LINC00032	ENSG00000231459	9	27245682	27282791	-1
ID3412	IPI00790497	KIAA1467	ENSG00000084444	12	13197218	13295455	1
ID3414	NA	MCFD2	ENSG00000180398	2	47129009	47168994	-1
ID3415	NA	RGP1	ENSG00000107185	9	35749203	35758572	1
ID3419	NA	DIO3OS	ENSG00000258498	14	102018558	102026768	-1
ID3420	NA	SRGAP3-AS2	ENSG00000228723	3	9234177	9236137	1
ID3421	NA	TTLL11-IT1	ENSG00000237548	9	124646915	124725998	-1
ID3422	NA	SNRPN	ENSG00000128739	15	25068794	25223870	1
ID3424	NA	SLC16A9	ENSG00000165449	10	61410523	61495760	-1
ID3425	NA	MAFG-AS1	ENSG00000265688	17	79885705	79888629	1
ID3426	IPI00028862	NXPH2	ENSG00000144227	2	139428342	139537918	-1
ID3427	IPI00376087	MACC1	ENSG00000183742	7	20174278	20257027	-1
ID3430	NA	DAB2	ENSG00000153071	5	39371780	39462402	-1
ID3431	NA	ATP1A1OS	ENSG00000203865	1	116934869	116961244	-1
ID3433	IPI00289058	LYNX1	ENSG00000180155	8	143845752	143859640	-1
ID3434	IPI00085589	C1orf227	ENSG00000185523	1	213003483	213020991	-1
ID3435	IPI00012902	SYT7	ENSG00000011347	11	61282785	61348620	-1
ID3436	IPI00550815	PRR14	ENSG00000156858	16	30662038	30667761	1
ID3437	IPI00395436	ZCCHC10	ENSG00000155329	5	132332677	132362296	-1
ID3438	IPI01015619	PAPPA	ENSG00000182752	9	118916083	119164601	1
ID3439	NA	C1orf61	ENSG00000125462	1	156374042	156400493	-1
ID3441	NA	TRPV6	ENSG00000260119	HG7_PATCH	142632169	142646705	-1
ID3442	IPI00930517	ANKRD18A	ENSG00000180071	9	38540566	38620657	-1
ID3443	IPI00929463	CC2D2A	ENSG00000048342	4	15471489	15603180	1
ID3444	NA	LINC00478	ENSG00000215386	21	17442842	17999716	1
ID3445	IPI01021851	TCP11L2	ENSG00000166046	12	106695707	106740793	1
ID3446	NA	CACNB2	ENSG00000165995	10	18429606	18830798	1
ID3447	NA	MTERFD2	ENSG00000122085	2	242011584	242041747	-1
ID3448	NA	SMURF1	ENSG00000198742	7	98625061	98741723	-1
ID3449	IPI00894026	MCF2L	ENSG00000126217	13	113548692	113754053	1
ID3452	IPI00794903	C21orf58	ENSG00000160298	21	47720095	47743789	-1
ID3456	NA	ZNF254	ENSG00000213096	19	24216276	24312654	1
ID3457	IPI00444572	SIPA1L2	ENSG00000116991	1	232533711	232697304	-1
ID3459	IPI00658151	SPEG	ENSG00000072195	2	220299568	220363009	1
ID3460	IPI00903304	MEIS1	ENSG00000143995	2	66660584	66801001	1
ID3461	NA	PI4K2B	ENSG00000038210	4	25162263	25280714	1
ID3462	IPI00554622	CHIC1	ENSG00000204116	X	72783036	72906937	1
ID3463	NA	PROX1-AS1	ENSG00000230461	1	213991094	214160973	-1
ID3464	IPI00872410	ATG2B	ENSG00000066739	14	96747595	96830207	-1
ID3466	NA	LRCH3	ENSG00000186001	3	197518097	197615307	1
ID3468	NA	SLC35G2	ENSG00000168917	3	136537489	136574734	1
ID3469	IPI00927675	VPS8	ENSG00000156931	3	184529931	184770402	1
ID3470	NA	CBR3-AS1	ENSG00000236830	21	37504065	37528615	-1
ID3471	IPI00296351	LRRC25	ENSG00000175489	19	18501954	18508427	-1
ID3473	NA	MIR137HG	ENSG00000225206	1	98453556	98515419	-1
ID3475	NA	BHLHB9	ENSG00000198908	X	101975616	102008468	1
ID3476	NA	FANCC	ENSG00000158169	9	97861336	98079991	-1
ID3478	NA	HSD17B12	ENSG00000149084	11	43577986	43878167	1
ID3479	NA	GYPA	ENSG00000170180	4	145030457	145061904	-1
ID3482	NA	PTK2	ENSG00000169398	8	141667999	142012315	-1
ID3487	NA	LINC00441	ENSG00000231473	13	48870649	48877797	-1
ID3488	NA	ACVR2B	ENSG00000114739	3	38495342	38534633	1
ID3490	NA	FBXO18	ENSG00000134452	10	5931535	5979556	1
ID3491	NA	FBXO42	ENSG00000037637	1	16573334	16678949	-1
ID3492	NA	PRDM11	ENSG00000019485	11	45115564	45247734	1
ID3495	NA	WDR78	ENSG00000152763	1	67278568	67390570	-1
ID3496	NA	FCN2	ENSG00000160339	9	137772654	137779924	1
ID3498	NA	LRRC39	ENSG00000122477	1	100614409	100643771	-1
ID3499	NA	RHOQ	ENSG00000119729	2	46768945	46810260	1
ID3500	IPI00719044	CD276	ENSG00000103855	15	73976307	74006859	1
ID3501	IPI00167951	C16orf54	ENSG00000185905	16	29753784	29757327	-1
ID3502	NA	DDX60L	ENSG00000181381	4	169277886	169458937	-1
ID3503	IPI00168603	CHDH	ENSG00000016391	3	53846362	53880417	-1
ID3504	NA	MED26	ENSG00000105085	19	16685718	16739873	-1
ID3506	IPI00217002	KIAA2018	ENSG00000176542	3	113367232	113415493	-1
ID3507	IPI00026228	GPR12	ENSG00000132975	13	27329341	27334922	-1
ID3508	NA	GBP6	ENSG00000183347	1	89829617	89852020	1
ID3509	IPI00167838	TMEM75	ENSG00000256655	8	128959126	128960591	-1
ID3510	NA	ZNF626	ENSG00000188171	19	20802867	20844402	-1
ID3514	IPI00072044	C11orf54	ENSG00000182919	11	93474757	93497915	1
ID3515	NA	STK32A	ENSG00000169302	5	146614526	146767415	1
ID3516	IPI00807649	C7orf71	ENSG00000222004	7	26677490	26686889	1
ID3517	NA	DLGAP3	ENSG00000116544	1	35331037	35395186	-1
ID3518	IPI00641121	CHRM3	ENSG00000133019	1	239549865	240078750	1
ID3519	NA	CHRM3	ENSG00000133019	1	239549865	240078750	1
ID3520	NA	CASC4	ENSG00000166734	15	44580927	44707956	1
ID3521	IPI00646025	C1orf200	ENSG00000179840	1	9712668	9714644	-1
ID3522	NA	ANKFN1	ENSG00000153930	17	54188319	54589020	1
ID3523	NA	LINC00184	ENSG00000224939	1	234765057	234770526	1
ID3525	NA	JAZF1-AS1	ENSG00000234336	7	28219941	28283536	1
ID3526	NA	CSNK1A1P1	ENSG00000223518	15	37090797	37110660	-1
ID3531	IPI00854607	CCDC171	ENSG00000164989	9	15552895	16061661	1
ID3532	NA	ZNF333	ENSG00000160961	19	14800613	14844558	1
ID3533	NA	TEX261	ENSG00000144043	2	71213068	71222075	-1
ID3535	IPI00166611	TTL	ENSG00000114999	2	113239731	113299316	1
ID3536	IPI00007955	TRIM16L	ENSG00000108448	17	18601311	18639431	1
ID3537	NA	TRIM16L	ENSG00000108448	17	18601311	18639431	1
ID3539	NA	TMEM221	ENSG00000188051	19	17546318	17559376	-1
ID3540	NA	GRAPL	ENSG00000189152	17	19030782	19062489	1
